id_cliente,cancelacion,genero,adulto_mayor,pareja,dependientes,meses_antiguedad,servicio_telefonico,multiples_lineas,servicio_internet,seguridad_en_linea,respaldo_en_linea,proteccion_dispositivo,soporte_tecnico,tv_streaming,peliculas_streaming,tipo_contrato,factura_digital,metodo_pago,cargos_mensuales,cargos_totales,cancelacion_binaria,cargos_diarios,total_servicios,etiqueta_adulto_mayor
0103-CSITQ,No,Femenino,0,Si,No,57,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Un ano,Si,Transferencia bancaria automatica,109.4,6252.7,0,3.646666666666667,8,No
0104-PPXDV,No,Masculino,0,Si,No,58,Si,No,DSL,No,No,Si,No,No,No,Un ano,No,Tarjeta de credito automatica,50.3,2878.55,0,1.6766666666666665,3,No
0106-GHRQR,No,Masculino,0,No,No,16,Si,Si,DSL,No,Si,Si,No,No,Si,Mes a mes,Si,Transferencia bancaria automatica,71.4,1212.1,0,2.3800000000000003,6,No
0106-UGRDO,No,Femenino,0,Si,No,69,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos anos,Si,Cheque electronico,116.0,8182.85,0,3.8666666666666667,9,No
0107-WESLM,Si,Masculino,0,No,No,1,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,Si,Cheque electronico,19.85,19.85,1,0.6616666666666667,1,No
0107-YHINA,Si,Masculino,0,No,Si,1,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mes a mes,Si,Cheque electronico,99.75,99.75,1,3.325,6,No
0111-KLBQG,No,Masculino,1,Si,Si,32,Si,No,Fibra optica,No,Si,No,No,Si,Si,Mes a mes,Si,Cheque enviado por correo,93.95,2861.45,0,3.131666666666667,5,Si
0112-QAWRZ,No,Masculino,0,Si,Si,16,Si,Si,Fibra optica,No,No,Si,No,Si,No,Mes a mes,Si,Transferencia bancaria automatica,90.8,1442.2,0,3.0266666666666664,5,No
0112-QWPNC,Si,Masculino,0,Si,No,49,Si,Si,DSL,Si,No,Si,Si,Si,Si,Un ano,No,Cheque electronico,84.35,4059.35,1,2.8116666666666665,8,No
0114-IGABW,No,Femenino,0,Si,No,71,No,Sin servicio telefonico,DSL,No,Si,Si,Si,Si,Si,Dos anos,No,Transferencia bancaria automatica,58.25,4145.9,0,1.9416666666666667,6,No
0114-PEGZZ,No,Femenino,0,No,No,33,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mes a mes,No,Cheque electronico,107.55,3645.5,0,3.585,7,No
0114-RSRRW,No,Femenino,0,Si,No,10,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,Si,Transferencia bancaria automatica,19.95,187.75,0,0.6649999999999999,1,No
0115-TFERT,Si,Masculino,0,Si,No,21,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Mes a mes,Si,Cheque electronico,111.2,2317.1,1,3.7066666666666666,8,No
0117-LFRMW,Si,Masculino,0,Si,Si,37,No,Sin servicio telefonico,DSL,Si,Si,Si,No,No,No,Mes a mes,No,Transferencia bancaria automatica,40.2,1448.8,1,1.34,4,No
0118-JPNOY,No,Femenino,1,No,No,26,Si,No,Fibra optica,Si,No,No,No,Si,No,Mes a mes,Si,Tarjeta de credito automatica,85.8,2193.65,0,2.86,4,Si
0121-SNYRK,No,Masculino,0,No,No,50,No,Sin servicio telefonico,DSL,Si,No,No,Si,No,No,Un ano,Si,Cheque enviado por correo,35.4,1748.9,0,1.18,3,No
0122-OAHPZ,Si,Femenino,0,No,No,7,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque electronico,73.85,511.25,1,2.4616666666666664,3,No
0123-CRBRT,No,Femenino,0,Si,Si,61,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos anos,No,Cheque enviado por correo,88.1,5526.75,0,2.9366666666666665,9,No
0125-LZQXK,Si,Masculino,0,No,No,15,Si,No,Fibra optica,No,No,Si,Si,Si,Si,Mes a mes,Si,Cheque electronico,101.35,1553.95,1,3.378333333333333,6,No
0128-MKWSG,No,Femenino,0,No,Si,26,No,Sin servicio telefonico,DSL,Si,No,No,Si,No,Si,Mes a mes,No,Cheque enviado por correo,45.8,1147.0,0,1.5266666666666666,4,No
0129-KPTWJ,No,Masculino,0,Si,No,72,Si,No,Fibra optica,No,No,Si,No,Si,Si,Mes a mes,Si,Cheque electronico,94.65,6747.35,0,3.1550000000000002,5,No
0129-QMPDR,No,Masculino,0,Si,Si,44,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un ano,Si,Transferencia bancaria automatica,20.5,865.05,0,0.6833333333333333,1,No
0130-SXOUN,No,Masculino,0,No,No,66,Si,Si,Fibra optica,No,Si,No,No,No,Si,Mes a mes,No,Tarjeta de credito automatica,89.4,5976.9,0,2.98,5,No
0133-BMFZO,Si,Femenino,0,No,No,2,Si,No,Fibra optica,Si,Si,No,Si,No,No,Mes a mes,Si,Cheque electronico,86.25,181.65,1,2.875,5,No
0134-XWXCE,No,Femenino,1,No,No,44,Si,No,DSL,No,No,Si,Si,Si,Si,Un ano,No,Transferencia bancaria automatica,74.85,3268.05,0,2.4949999999999997,6,Si
0135-NMXAP,Si,Femenino,0,No,No,12,Si,Si,Fibra optica,No,Si,No,No,Si,No,Mes a mes,Si,Transferencia bancaria automatica,89.75,1052.4,1,2.9916666666666667,5,No
0136-IFMYD,No,Masculino,1,Si,No,69,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Dos anos,Si,Cheque electronico,109.95,7634.25,0,3.665,8,Si
0137-OCGAB,Si,Femenino,0,No,No,1,Si,Si,Fibra optica,No,Si,No,No,No,No,Mes a mes,Si,Cheque enviado por correo,80.2,80.2,1,2.6733333333333333,4,No
0137-UDEUO,Si,Femenino,0,No,No,3,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Cheque enviado por correo,19.85,63.75,1,0.6616666666666667,1,No
0139-IVFJG,No,Femenino,0,Si,No,2,Si,No,Fibra optica,Si,Si,No,No,Si,No,Mes a mes,No,Cheque electronico,90.35,190.5,0,3.0116666666666663,5,No
0141-YEAYS,No,Femenino,1,No,No,27,Si,Si,Fibra optica,No,Si,Si,No,No,No,Mes a mes,Si,Transferencia bancaria automatica,86.45,2401.05,0,2.881666666666667,5,Si
0142-GVYSN,No,Masculino,0,No,No,26,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,Si,Cheque electronico,20.3,511.25,0,0.6766666666666666,1,No
0147-ESWWR,No,Femenino,1,Si,No,39,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Mes a mes,Si,Cheque electronico,101.25,3949.15,0,3.375,6,Si
0148-DCDOS,Si,Masculino,0,No,No,25,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Transferencia bancaria automatica,94.7,2362.1,1,3.1566666666666667,5,No
0151-ONTOV,Si,Femenino,0,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mes a mes,No,Cheque enviado por correo,70.9,70.9,1,2.3633333333333337,2,No
0156-FVPTA,Si,Masculino,0,Si,No,22,Si,No,DSL,Si,No,No,Si,No,No,Mes a mes,Si,Cheque electronico,54.2,1152.7,1,1.8066666666666669,4,No
0164-APGRB,No,Femenino,0,No,No,72,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos anos,Si,Cheque electronico,114.9,8496.7,0,3.83,9,No
0164-XAIRP,No,Femenino,0,No,No,24,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,Si,Transferencia bancaria automatica,19.55,470.2,0,0.6516666666666667,1,No
0168-XZKBB,No,Femenino,0,Si,No,19,Si,Si,Fibra optica,No,No,No,No,Si,No,Mes a mes,Si,Cheque electronico,86.85,1564.4,0,2.895,4,No
0174-QRVVY,No,Masculino,0,Si,Si,71,Si,Si,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Tarjeta de credito automatica,25.35,1847.55,0,0.8450000000000001,2,No
0177-PXBAT,No,Masculino,1,Si,No,33,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Mes a mes,Si,Transferencia bancaria automatica,109.9,3694.7,0,3.6633333333333336,8,Si
0178-CIIKR,No,Femenino,0,No,No,3,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Cheque enviado por correo,19.95,58.0,0,0.6649999999999999,1,No
0178-SZBHO,No,Masculino,0,Si,Si,47,Si,Si,Fibra optica,No,Si,No,No,Si,No,Mes a mes,No,Cheque electronico,87.2,4017.45,0,2.9066666666666667,5,No
0181-RITDD,No,Masculino,0,Si,Si,62,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Dos anos,No,Cheque enviado por correo,108.15,6825.65,0,3.605,8,No
0186-CAERR,No,Masculino,0,No,No,71,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Un ano,Si,Transferencia bancaria automatica,116.3,8309.55,0,3.8766666666666665,9,No
0187-QSXOE,No,Masculino,1,Si,No,7,Si,No,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electronico,89.0,605.45,0,2.966666666666667,4,Si
0187-WZNAB,No,Femenino,0,Si,Si,27,Si,No,Fibra optica,Si,No,No,No,No,No,Mes a mes,No,Cheque enviado por correo,74.4,1972.35,0,2.48,3,No
0188-GWFLE,No,Masculino,0,No,No,2,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Cheque enviado por correo,20.05,33.7,0,0.6683333333333333,1,No
0191-EQUUH,No,Femenino,0,No,Si,25,No,Sin servicio telefonico,DSL,Si,No,No,Si,No,No,Dos anos,No,Transferencia bancaria automatica,35.05,844.45,0,1.1683333333333332,3,No
0191-ZHSKZ,No,Masculino,1,No,No,30,Si,No,DSL,Si,Si,No,No,Si,Si,Mes a mes,Si,Cheque electronico,74.75,2111.3,0,2.4916666666666667,6,Si
0193-ESZXP,Si,Femenino,1,Si,No,58,Si,No,Fibra optica,Si,Si,No,Si,Si,Si,Un ano,Si,Tarjeta de credito automatica,105.5,6205.5,1,3.5166666666666666,7,Si
0195-IESCP,Si,Masculino,0,Si,No,10,Si,Si,Fibra optica,No,No,No,No,No,Si,Mes a mes,Si,Cheque electronico,85.25,855.3,1,2.841666666666667,4,No
0196-JTUQI,No,Femenino,0,No,No,9,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Tarjeta de credito automatica,75.2,633.85,0,2.506666666666667,3,No
0196-VULGZ,Si,Femenino,1,Si,No,6,Si,Si,Fibra optica,No,No,No,No,No,Si,Mes a mes,Si,Cheque electronico,84.35,474.9,1,2.8116666666666665,4,Si
0197-PNKNK,No,Femenino,0,Si,Si,69,Si,Si,Fibra optica,Si,No,Si,No,No,No,Un ano,No,Transferencia bancaria automatica,84.45,5848.6,0,2.815,5,No
0201-MIBOL,No,Femenino,1,No,No,66,Si,Si,Fibra optica,Si,No,No,No,Si,Si,Dos anos,Si,Transferencia bancaria automatica,102.4,6471.85,0,3.4133333333333336,6,Si
0201-OAMXR,Si,Femenino,0,No,No,70,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Un ano,No,Tarjeta de credito automatica,115.55,8127.6,1,3.8516666666666666,9,No
0203-HHYIJ,Si,Masculino,0,No,No,25,Si,Si,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un ano,No,Transferencia bancaria automatica,25.3,676.35,1,0.8433333333333334,2,No
0206-OYVOC,No,Femenino,0,Si,Si,46,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,Si,Cheque enviado por correo,19.25,864.2,0,0.6416666666666667,1,No
0206-TBWLC,No,Femenino,0,Si,No,54,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Un ano,Si,Cheque enviado por correo,114.65,6049.5,0,3.8216666666666668,9,No
0207-MDKNV,Si,Femenino,0,No,No,15,Si,No,Fibra optica,Si,No,Si,Si,Si,Si,Mes a mes,No,Cheque electronico,105.1,1582.75,1,3.503333333333333,7,No
0208-BPQEJ,No,Femenino,0,Si,Si,12,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Transferencia bancaria automatica,19.4,198.1,0,0.6466666666666666,1,No
0212-ISBBF,No,Femenino,0,No,No,22,No,Sin servicio telefonico,DSL,No,Si,No,No,Si,Si,Mes a mes,Si,Cheque electronico,50.35,1098.85,0,1.6783333333333335,4,No
0214-JHPFW,No,Femenino,0,Si,No,70,No,Sin servicio telefonico,DSL,No,Si,Si,Si,Si,Si,Dos anos,No,Transferencia bancaria automatica,57.8,4039.3,0,1.9266666666666665,6,No
0215-BQKGS,No,Masculino,0,No,No,30,Si,No,Fibra optica,Si,Si,Si,No,No,No,Mes a mes,Si,Tarjeta de credito automatica,84.3,2438.6,0,2.81,5,No
0218-QNVAS,No,Masculino,0,Si,Si,71,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Un ano,No,Transferencia bancaria automatica,100.55,7113.75,0,3.3516666666666666,6,No
0219-QAERP,No,Masculino,0,Si,No,30,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un ano,No,Tarjeta de credito automatica,19.8,576.65,0,0.66,1,No
0219-YTZUE,Si,Masculino,0,Si,Si,4,Si,Si,Fibra optica,No,Si,Si,No,No,No,Mes a mes,Si,Transferencia bancaria automatica,84.8,371.9,1,2.8266666666666667,5,No
0220-EBGCE,Si,Masculino,0,No,No,2,Si,No,Fibra optica,No,No,Si,No,No,Si,Mes a mes,Si,Cheque electronico,85.85,167.3,1,2.8616666666666664,4,No
0221-NAUXK,No,Masculino,0,No,Si,10,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un ano,Si,Transferencia bancaria automatica,19.95,219.5,0,0.6649999999999999,1,No
0221-WMXNQ,No,Masculino,1,No,No,4,Si,No,Fibra optica,Si,No,No,No,No,No,Mes a mes,No,Cheque electronico,75.35,273.4,0,2.5116666666666663,3,Si
0222-CNVPT,No,Masculino,1,No,No,52,No,Sin servicio telefonico,DSL,Si,No,No,No,Si,Si,Mes a mes,Si,Tarjeta de credito automatica,48.8,2555.05,0,1.6266666666666665,4,Si
